Vinícius Júnior,Vinícius Jr
Vedat Muriqi,Vedat Muriqi
Cyle Larin,Cyle Larin
Amath Ndiaye,Amath
Abdón Prats,Abdón Prats
Javi Llabrés,Javi Llabrés
Sergi Darder,Darder
Omar Mascarell,Omar Mascarell
Manu Morlanes,Morlanes
Dani Rodríguez,Dani Rodríguez
Samuel Costa,Samú Costa
Clément Grenier,Clément Grenier
Antonio Sánchez,Antonio Sánchez
Ruben Quintanilla,Iván Villar
Pablo Maffeo,Maffeo
Martin Valjent,Martin Valjent
Giovanni González,Giovanni González
Toni Lato,Lato
Antonio Raíllo,Raíllo
José Copete,Copete
Jaume Costa,Jaume Costa
Siebe Van Der Heyden,S. Van Der Heyden
Josep Gayá,Josep Gaya
Marcos Fernández,Raúl Fernández
Predrag Rajković,Rajkovic
Dominik Greif,Dominik Greif
Miquel Llabres,Villalibre
Miguel Martin Garcia,Imanol García
Munir El Haddadi,Munir
Sory Kaba,Sory Kaba
Marvin Park,Marvin Park
Sandro Ramírez,Sandro
Marc Cardona,Marc Cardona
Alberto Moleiro,Alberto Moleiro
Jonathan Viera,Jonathan Viera
Enzo Loiodice,Enzo Loiodice
Omenuke Mfulu,Mfulu
Kirian Rodríguez,Kirian Rodríguez
Javier Muñoz,Javi Muñoz
Pejiño,Pejiño
Cristian Herrera,Cristian Herrera
Benito Ramírez,Benito Ramirez
Fabio González,Fabio González
Julian Araujo,Julián Araujo
Mika Mármol,Mika Mármol
Daley Sinkgraven,Daley Sinkgraven
Saúl Coco,Saúl Coco
Alex Suárez,Alex Suárez
Sergi Cardona,Sergi Cardona
Álvaro Lemos,Álvaro Lemos
Eric Curbelo,Eric Curbelo
Alejandro Palanca,Alejandro Balde
Aarón Escandell,Escandell
Álvaro Valles,Álvaro Vallés
Herzog,Hermoso
Iago Aspas,Iago Aspas
Carles Pérez,Carles Pérez
Jørgen Strand Larsen,Strand Larsen
Gonçalo Paciência,Gonçalo Paciência
Williot Swedberg,Swedberg
Miguel Rodríguez,Miguel Rodríguez
Gabri Veiga,Gabriel Veiga
Renato Tapia,Tapia
Jonathan Bamba,Jonathan Bamba
Franco Cervi,Franco Cervi
Fran Beltrán,Fran Beltrán
Carlos Dotor,Carlos Dotor
Luca De La Torre,Luca de la Torre
Miguel Baeza,Baeza
Óscar Mingueza,Óscar
Joseph Aidoo,Aidoo
Unai Núñez,Unai Núñez
Manuel Sánchez,Manu Sánchez
Carl Starfelt,Carl Starfelt
Kevin Vázquez,Kevin Vázquez
Jose Fontán,Joel Roca
Carlos Domínguez,Carlos Dominguez
Sergio Carreira,Carreira
Agustín Marchesín,Marchesín
Iván Villar,Iván Villar
Enes Ünal,Enes Ünal
Borja Mayoral,Mayoral
Anthony Lozano,Choco Lozano
Juanmi Latasa,Juanmi Latasa
Jaime Mata,Mata
Carles Aleñá,Aleñá
Nemanja Maksimović,Maksimovic
Mauro Arambarri,Arambarri
Portu,Portu
Luis Milla,Luis Milla
Santi García,Imanol García
Santiago Garcia Gonzalez,Edgar González
Djené,Djené
Domingos Duarte,Domingos Duarte
Omar Alderete,Omar Alderete
Stefan Mitrović,Stefan Mitrovic
Damián Suárez,Damián Suárez
José Ángel Carmona,José Ángel Carmona
Gastón Álvarez,Gastón Álvarez
Fabrizio Angileri,Fabricio Angileri
Juan Iglesias,Juan Iglesias
David Soria,David Soria
Daniel Fuzato,Daniel Fuzato
Jorge Benito,Rafa Benítez
John Patrick,Njegos Petrovic
Youssef En-Nesyri,En-Nesyri
Rafa Mir,Rafa Mir
Ivan Rakitić,Rakitic
Papu Gómez,Papu Gómez
Lucas Ocampos,Ocampos
Erik Lamela,Erik Lamela
Jesús Corona,Jesús Navas
Oussama Idrissi,Idrissi
Adnan Januzaj,Januzaj
Suso,Suso
Thomas Delaney,Tchouameni
Fernando,Fernando
Óscar Rodríguez,Óscar
Óliver Torres,Óliver Torres
Djibril Sow,Djibril Sow
Joan Jordán,Jordán
Juanlu Sánchez,Juanlu Sánchez
Marcos Acuña,Acuña
Gonzalo Montiel,Montiel
Tanguy Nianzou,Tanguy Nianzou
Jesús Navas,Jesús Navas
Nemanja Gudelj,Gudelj
Marcão,Marcão
Loïc Badé,Loïc Badé
Federico Gattoni,Federico Gattoni
Adrià Pedrosa,Pedrosa
Kike Salas,Kike Salas
Bono,Sobrino
Marko Dmitrović,Dmitrovic
Alfonso Pastor,Alfonso Pastor
Famara Diédhiou,Famara Diédhiou
Myrto Uzuni,Myrto Uzuni
José Callejón,José Callejón
Shon Weissman,Weissman
Alberto Perea,Perea
Antoñín,Antoñín
Gonzalo Villar,Gonzalo Villar
Gerard Gumbau,Gumbau
Njegoš Petrović,Njegos Petrovic
Antonio Puertas,Puertas
Alberto Soro,Alberto Soro
Óscar Melendo,Óscar
Sergio Ruiz Alonso,Iza
Bryan Zaragoza,Bryan Zaragoza
Yann Bodiger,Bodiger
Jesús Vallejo,Jesús Vallejo
Alpha Dionkou,Alpha Diounkou
Wilson Manafá,Wilson Manafá
Ricard Sánchez,Ricard Sánchez
Carlos Neva,Carlos Neva
Miguel Rubio,Miguel Rubio
Ignasi Miquel,Ignasi Miquel
Víctor Díaz,Víctor Díaz
Raúl Torrente,Raúl Torrente
Miki Bosch,Michel
André Ferreira,André Ferreira
Raúl Fernández,Raúl Fernández
Lázaro,Lázaro
Luis Javier Suárez,Luis J. Suárez
Largie Ramazani,Largie Ramazani
Ibrahima Kone,Ibrahima Koné
Léo Baptistão,Leo Baptistão
Adrián Embarba,Embarba
Marko Milovanović,Marko Milovanović
Arvin Appiah,Arvin Appiah
Marciano Sanca Tchami,Manu Sánchez
Iddrisu Baba,Baba
Dion Lopy,Dion Lopy
Lucas Robertone,Lucas Robertone
Gonzalo Melero,Melero
Arnau Puigmal,Arnau Puigmal
Gui,Gui
Íñigo Eguaras,Eguaras
Marcos Pena,de Marcos
Kaiky,Kaiky
Sergio Akieme,Akieme
Chumi,Chumi
Edgar González,Edgar González
Alejandro Pozo,Pozo
Álex Centelles,Álex Centelles
Marc Pubill,Marc Pubill
Houboulang Mendes,Houboulang Mendes
Luís Maximiano,Maximiano
Fernando Martínez,Fernando Martinez
Diego Mariño,Diego Mariño
Manuel Obón Salido,Nahuel Tenaglia
