Courtois,GK,28,7.164295999999999,Belgium,ok,7920000.0,-30000.0,"[-2, 10, None, None, None]",0,0,7.16,3
Alisson,GK,27,7.825895999999999,Brazil,ok,7480000.0,30000.0,"[0, 2, None, None, None]",0,0,7.02,574
Alphonso Davies,DEF,27,7.380071999999999,Canada,ok,3380000.0,10000.0,"[11, 6, None, None, None]",0.4,0.1,7.06,-119
Bruno Guimarães,MID,27,8.126892,Brazil,ok,3830000.0,-70000.0,"[2, None, None, None, None]",0,0,7.29,574
Carlos Soler,MID,27,7.516991999999999,Spain,ok,4590000.0,30000.0,"[None, 10, None, None, None]",0,0,7.14,264
Kostić,MID,27,7.084307999999999,Serbia,ok,4170000.0,-80000.0,"[2, 'doubt', None, None, None]",0,0,7.14,-39
Koke,MID,27,7.295903999999999,Spain,ok,4400000.0,30000.0,"[2, 6, None, None, None]",0,0.1,6.83,264
de Ligt,DEF,27,7.6149059999999995,Netherlands,ok,4560000.0,-110000.0,"[None, -2, None, None, None]",0,0,6.99,447
Pau Torres,DEF,27,7.3696,Spain,ok,3790000.0,-230000.0,"[None, None, None, None, None]",0,0,7.0,264
Rodrigo de Paul,MID,27,7.46494,Argentina,ok,5930000.0,-90000.0,"[-2, -2, None, None, None]",0,0,7.10,257
Steven Bergwijn,ATT,27,7.593118,Netherlands,ok,4520000.0,0.0,"[-2, 2, None, None, None]",0,0,6.97,447
Achraf Hakimi,DEF,26,7.228028,Morocco,ok,5260000.0,120000.0,"[2, 6, None, None, None]",0,0.1,6.96,119
André Silva,ATT,26,7.273956,Portugal,ok,2910000.0,-80000.0,"[None, None, None, None, None]",0,0,6.87,294
Rüdiger,DEF,26,7.28829,Germany,ok,6260000.0,130000.0,"[6, 2, None, None, None]",0,0,7.05,169
Éder Militão,DEF,26,7.903932,Brazil,ok,6250000.0,20000.0,"[6, None, None, None, None]",0,0,7.09,574
Xhaka,MID,26,6.9840539999999995,Switzerland,ok,4920000.0,30000.0,"[2, 6, None, None, None]",0,0,6.93,39
Pickford,GK,26,7.261992,England,ok,5640000.0,70000.0,"[2, 2, None, None, None]",0,0,6.98,202
Marcos Llorente,MID,26,7.253792,Spain,ok,3610000.0,-110000.0,"[None, None, None, None, None]",0,0,6.89,264
Marcus Thuram,ATT,26,7.589136,France,ok,3010000.0,-30000.0,"[2, 0, None, None, None]",0,0,7.09,352
Otávio,MID,26,7.866884,Portugal,doubt,3440000.0,-30000.0,"['doubt', 2, None, None, None]",0,0,7.43,294
Varane,DEF,26,7.460688,France,ok,3960000.0,90000.0,"[2, None, None, None, None]",0,0,6.97,352
Bentancur,MID,26,7.548970000000001,Uruguay,ok,5600000.0,10000.0,"[6, 2, None, None, None]",0,0,7.15,279
Theo Hernández,DEF,26,7.9102559999999995,France,ok,6920000.0,190000.0,"[6, 10, None, None, None]",0,0.1,7.29,352
Thomas Partey,MID,26,6.920986,Ghana,ok,4200000.0,10000.0,"[6, 2, None, None, None]",0.2,0.1,7.03,-279
Christensen,DEF,25,7.074227999999999,Denmark,ok,4360000.0,110000.0,"[11, 6, None, None, None]",0,0,6.81,194
Eriksen,MID,25,8.331176,Denmark,ok,6340000.0,80000.0,"[6, 6, None, None, None]",0.7,0.1,7.22,194
Cristian Romero,DEF,25,7.422884000000001,Argentina,ok,3260000.0,-20000.0,"[2, -2, None, None, None]",0,0,7.06,257
Daichi Kamada,MID,25,6.9240319999999995,Japan,ok,3240000.0,-90000.0,"[-2, 2, None, None, None]",0.3,0,7.01,-264
Dayot Upamecano,DEF,25,7.535616,France,ok,5100000.0,240000.0,"[6, 6, None, None, None]",0,0,7.04,352
Ederson,GK,25,7.669824,Brazil,ok,4440000.0,-170000.0,"[None, None, None, None, None]",0,0,6.88,574
Edson Álvarez,MID,25,7.256648,Mexico,ok,3430000.0,-110000.0,"[None, 6, None, None, None]",0,0,7.07,132
Guido Rodríguez,MID,25,7.538538000000001,Argentina,ok,4150000.0,10000.0,"[2, None, None, None, None]",0,0,7.17,257
Gavi,MID,25,7.253792,Spain,ok,9420000.0,270000.0,"[2, 14, None, None, None]",0,0,6.89,264
Maguire,DEF,25,7.2723960000000005,England,ok,4860000.0,220000.0,"[6, 6, None, None, None]",0,0,6.99,202
Perišić,MID,25,7.205673999999999,Croatia,ok,6430000.0,110000.0,"[10, 2, None, None, None]",0,0,7.21,-3
Stones,DEF,25,7.345224,England,ok,5030000.0,170000.0,"[6, 2, None, None, None]",0,0,7.06,202
Jules Koundé,DEF,25,7.557023999999999,France,ok,5930000.0,90000.0,"[2, 0, None, None, None]",0,0,7.06,352
Koulibaly,DEF,25,6.879899999999999,Senegal,ok,4010000.0,-20000.0,"[-2, 6, None, None, None]",0,0,7.1,-155
Süle,DEF,25,6.833418000000001,Germany,ok,4410000.0,40000.0,"[2, 2, None, None, None]",0,0,6.61,169
Neves,MID,25,7.496303999999999,Portugal,ok,5590000.0,60000.0,"[2, 6, None, None, None]",0,0,7.08,294
Steven Berghuis,MID,25,8.126923999999999,Netherlands,ok,3910000.0,-10000.0,"[2, 2, None, None, None]",0,0.1,7.36,447
Thiago Almada,MID,25,7.790874000000001,Argentina,ok,2570000.0,-60000.0,"[None, None, None, None, None]",0,0,7.41,257
Pavard,DEF,24,7.7389920000000005,France,ok,4800000.0,-150000.0,"[None, 2, None, None, None]",0,0,7.23,352
Josko Gvardiol,DEF,24,6.9958,Croatia,ok,3850000.0,90000.0,"[6, 6, None, None, None]",0,0,7.0,-3
Lisandro Martínez,DEF,24,7.5805940000000005,Argentina,ok,3980000.0,60000.0,"[6, -2, None, None, None]",0,0,7.21,257
Nuno Mendes,DEF,24,7.326896,Portugal,doubt,3560000.0,-70000.0,"[2, 'doubt', None, None, None]",0,0,6.92,294
Wout Weghorst,ATT,24,7.462389999999999,Netherlands,ok,1910000.0,-30000.0,"[0, None, None, None, None]",0,0,6.85,447
Kramarić,ATT,23,6.855884,Croatia,ok,3880000.0,140000.0,"[16, -2, None, None, None]",0,0,6.86,-3
Callum Wilson,ATT,23,7.199568,England,ok,2320000.0,-50000.0,"[None, -2, None, None, None]",0,0,6.92,202
Carvajal,DEF,23,7.401184,Spain,ok,4680000.0,-50000.0,"[-2, None, None, None, None]",0,0,7.03,264
Cavani,ATT,23,7.696782000000001,Uruguay,ok,4770000.0,-60000.0,"[-2, 2, None, None, None]",0.5,0,6.79,279
Hans Vanaken,MID,23,7.184307999999999,Belgium,ok,1990000.0,-60000.0,"[None, None, None, None, None]",0,0,7.18,3
Ismaila Sarr,ATT,23,6.98649,Senegal,ok,3490000.0,60000.0,"[6, 6, None, None, None]",0.35,0,6.86,-155
Jordi Alba,DEF,23,7.622272,Spain,ok,5680000.0,270000.0,"[10, 6, None, None, None]",0,0,7.24,264
Jurrien Timber,DEF,23,7.6149059999999995,Netherlands,ok,2340000.0,-10000.0,"[2, None, None, None, None]",0,0,6.99,447
Trippier,DEF,23,8.000675999999999,England,ok,5670000.0,80000.0,"[2, 6, None, None, None]",0,0.1,7.59,202
Walker,DEF,23,7.386839999999999,England,ok,2010000.0,-20000.0,"[None, 'injured', None, None, None]",0,0,7.10,202
Laporte,DEF,23,7.485408,Spain,ok,6490000.0,150000.0,"[6, 6, None, None, None]",0,0,7.11,264
Ginter,DEF,23,7.3606560000000005,Germany,ok,2160000.0,-90000.0,"[None, None, None, None, None]",0,0,7.12,169
Teun Koopmeiners,MID,23,7.636693999999999,Netherlands,ok,3230000.0,-10000.0,"[2, 2, None, None, None]",0,0,7.01,447
William Saliba,DEF,23,7.5035039999999995,France,ok,1760000.0,-50000.0,"[None, None, None, None, None]",0,0,7.01,352
Yéremy Pino,ATT,23,7.169567999999999,Spain,ok,2050000.0,-60000.0,"[None, None, None, None, None]",0,0,6.81,264
Rabiot,MID,22,7.65336,France,ok,6360000.0,240000.0,"[2, 14, None, None, None]",0,0,7.15,352
Di María,ATT,22,7.738304,Argentina,ok,8000000.0,100000.0,"[2, -2, None, None, None]",0,0.1,7.26,257
José Giménez,DEF,22,7.3272520000000005,Uruguay,ok,5360000.0,30000.0,"[6, 6, None, None, None]",0,0,6.94,279
Luis Suárez,ATT,22,7.971290000000001,Uruguay,ok,5930000.0,-120000.0,"[2, 2, None, None, None]",0.7,0,6.85,279
Modrić,MID,22,7.965217999999999,Croatia,ok,9660000.0,80000.0,"[6, 6, None, None, None]",0.7,0.1,7.17,-3
Neuer,GK,22,7.246938,Germany,ok,6260000.0,-30000.0,"[2, 2, None, None, None]",0,0,7.01,169
Ter Stegen,GK,22,7.112544000000001,Germany,ok,3260000.0,-140000.0,"[None, None, None, None, None]",0,0,6.88,169
Matheus Nunes,MID,22,7.25278,Portugal,ok,1990000.0,-30000.0,"[2, None, None, None, None]",0,0,6.85,294
Elvedi,DEF,22,6.933664,Switzerland,ok,2510000.0,50000.0,"[6, 2, None, None, None]",0,0,6.88,39
Freuler,MID,22,6.893352,Switzerland,ok,2890000.0,-10000.0,"[2, 2, None, None, None]",0,0,6.84,39
Ritsu Doan,ATT,22,7.066112,Japan,ok,2520000.0,-10000.0,"[2, 9, None, None, None]",0.5,0,6.96,-264
Stefan de Vrij,DEF,22,7.484178,Netherlands,ok,2380000.0,-70000.0,"[None, None, None, None, None]",0,0,6.87,447
Unai Simón,GK,22,7.222208,Spain,ok,6270000.0,120000.0,"[6, 2, None, None, None]",0,0,6.86,264
Alexis Mac Allister,MID,21,7.496482,Argentina,ok,2860000.0,80000.0,"[2, None, None, None, None]",0,0,7.13,257
Andreas Skov Olsen,MID,21,7.468972,Denmark,ok,2910000.0,-100000.0,"[None, 6, None, None, None]",0,0,7.19,194
Živković,ATT,21,7.1537619999999995,Serbia,ok,2010000.0,40000.0,"[6, 2, None, None, None]",0,0,7.21,-39
Boulaye Dia,ATT,21,6.928349999999999,Senegal,ok,3100000.0,20000.0,"[5, 2, None, None, None]",0.35,0,6.8,-155
Bremer,DEF,21,7.8593399999999995,Brazil,ok,1300000.0,-30000.0,"[None, None, None, None, None]",0,0,7.05,574
Bryan Mbeumo,ATT,21,6.125584,Cameroon,ok,2000000.0,-30000.0,"[2, 2, None, None, None]",0,0,6.92,-574
Charles De Ketelaere,MID,21,6.934157999999999,Belgium,ok,1790000.0,-40000.0,"[-2, None, None, None, None]",0,0,6.93,3
Azpilicueta,DEF,21,7.306432,Spain,ok,3920000.0,30000.0,"[None, 6, None, None, None]",0,0,6.94,264
