Vinícius Jr,Vinícius Júnior
Mikel Merino,Mikel Merino
Kubo,Takefusa Kubo
Oyarzabal,Mikel Oyarzabal
Zubimendi,Martín Zubimendi
Brais Méndez,Brais Méndez
Arsen Zakharyan,Arsen Zakharyan
Le Normand,Robin Le Normand
Hamari Traoré,Hamari Traore
Remiro,Álex Remiro
Kieran Tierney,Ekain Azkune
Zubeldia,Igor Zubeldia
Umar Sadiq,Umar Sadiq
Elustondo,Aritz Elustondo
Barrenetxea,Ander Barrenetxea
Aihen Muñoz,Aihen Muñoz
Diego Rico,Diego Rico
Mohamed-Ali Cho,Mohamed-Ali Cho
Jon Karrikaburu,Jon Karrikaburu
Alex Sola,Álex Sola
Carlos Fernández,Carlos Fernández
Jon Pacheco,Jon Pacheco
Merquelanz,Martín Merquelanz
Unai Marrero,Unai Marrero
Beñat Turrientes,Beñat Turrientes
Robert Navarro,Robert Navarro
Jon Ander Olasagasti,Jon Ander Olasagasti
Pablo Marín,Hugo Martín
Vedat Muriqi,Vedat Muriqi
Darder,Sergi Darder
Maffeo,Pablo Maffeo
Rajkovic,Predrag Rajković
Raíllo,Antonio Raíllo
Martin Valjent,Martin Valjent
S. Van Der Heyden,Siebe Van Der Heyden
Cyle Larin,Cyle Larin
Dani Rodríguez,Dani Rodríguez
Copete,José Copete
Omar Mascarell,Omar Mascarell
Samú Costa,Samuel Costa
Jaume Costa,Jaume Costa
Morlanes,Manu Morlanes
Lato,Toni Lato
Abdón Prats,Abdón Prats
Amath,Amath Ndiaye
Giovanni González,Giovanni González
Josep Gaya,Josep Gayá
Antonio Sánchez,Antonio Sánchez
Clément Grenier,Clément Grenier
Cuéllar,Miquel Llabres
Dominik Greif,Dominik Greif
Javi Llabrés,Javi Llabrés
Jonathan Viera,Jonathan Viera
Alberto Moleiro,Alberto Moleiro
Julián Araujo,Julian Araujo
Munir,Munir El Haddadi
Enzo Loiodice,Enzo Loiodice
Pejiño,Pejiño
Sandro,Sandro Ramírez
Alex Suárez,Alex Suárez
Álvaro Lemos,Álvaro Lemos
Álvaro Vallés,Álvaro Valles
Benito Ramirez,Benito Ramírez
Cristian Herrera,Cristian Herrera
Daley Sinkgraven,Daley Sinkgraven
Eric Curbelo,Eric Curbelo
Marc Cardona,Marc Cardona
Mika Mármol,Mika Mármol
Sergi Cardona,Sergi Cardona
Sory Kaba,Sory Kaba
Fabio González,Fabio González
Javi Muñoz,Javier Muñoz
Kirian Rodríguez,Kirian Rodríguez
Marvin Park,Marvin Park
Máximo Perrone,Máximo Perrone
Mfulu,Omenuke Mfulu
Saúl Coco,Saúl Coco
Escandell,Aarón Escandell
Iago Aspas,Iago Aspas
Jonathan Bamba,Jonathan Bamba
Douvikas,Gabri Veiga
Fran Beltrán,Fran Beltrán
Carles Pérez,Carles Pérez
Aidoo,Joseph Aidoo
Unai Núñez,Unai Núñez
Strand Larsen,Jørgen Strand Larsen
Carl Starfelt,Carl Starfelt
Manu Sánchez,Manuel Sánchez
Tapia,Renato Tapia
Franco Cervi,Franco Cervi
Iván Villar,Iván Villar
Marchesín,Agustín Marchesín
Carlos Dominguez,Carlos Domínguez
Gonçalo Paciência,Gonçalo Paciência
Kevin Vázquez,Kevin Vázquez
Luca de la Torre,Luca De La Torre
Miguel Rodríguez,Miguel Rodríguez
Mingueza,Óscar Mingueza
Carreira,Sergio Carreira
Baeza,Miguel Baeza
Swedberg,Williot Swedberg
Carlos Dotor,Carlos Dotor
Hugo Sotelo,Hugo Sotelo
Enes Ünal,Enes Ünal
David Soria,David Soria
Maksimovic,Nemanja Maksimović
Luis Milla,Luis Milla
Arambarri,Mauro Arambarri
Mayoral,Borja Mayoral
Djené,Djené
Omar Alderete,Omar Alderete
Aleñá,Carles Aleñá
Domingos Duarte,Domingos Duarte
Portu,Portu
Choco Lozano,Anthony Lozano
Damián Suárez,Damián Suárez
Juan Iglesias,Juan Iglesias
Fabricio Angileri,Fabrizio Angileri
Mata,Jaime Mata
José Ángel Carmona,José Ángel Carmona
Juanmi Latasa,Juanmi Latasa
Stefan Mitrovic,Stefan Mitrović
Daniel Fuzato,Daniel Fuzato
Gastón Álvarez,Gastón Álvarez
En-Nesyri,Youssef En-Nesyri
Djibril Sow,Djibril Sow
Dodi Lukébakio,Dodi Lukébakio
Gudelj,Nemanja Gudelj
Acuña,Marcos Acuña
Ocampos,Lucas Ocampos
Idrissi,Oussama Idrissi
Loïc Badé,Loïc Badé
Erik Lamela,Erik Lamela
Rakitic,Ivan Rakitić
Suso,Suso
Fernando,Fernando
Januzaj,Adnan Januzaj
Óliver Torres,Óliver Torres
Dmitrovic,Marko Dmitrović
Federico Gattoni,Federico Gattoni
Jordán,Joan Jordán
Óscar,Óscar Rodríguez
Papu Gómez,Papu Gómez
Rafa Mir,Rafa Mir
Tecatito,Marcão
Jesús Navas,Jesús Navas
Juanlu Sánchez,Juanlu Sánchez
Marcão,Marcão
